,عنوان,قیمت,محله,تصویر,لینک,متراژ,تعداد اتاق,قیمت هر متر
count,310,310.0,310,310,310,228.0,67.0,228.0
unique,65,,54,65,65,,,
top,فروش آپارتمان ۹۰ متری ۲ خوابه همکف در نوده,,در نوده,https://postimage01.divarcdn.com/static/photo/neda/webp_thumbnail/GnNndaOzASjU-IVx3q9f7Q/1ad0e253-944a-41b8-8e86-f501f9d0290a.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B9%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D9%87%D9%85%DA%A9%D9%81-%D8%AF%D8%B1-%D9%86%D9%88%D8%AF%D9%87/Aayd3iz9,,,
freq,9,,17,9,9,,,
mean,,4571177419.354838,,,,117.58771929824562,1.8805970149253732,32169139.441883657
std,,9291894831.379513,,,,67.37864750252025,0.6160083642609402,26557839.24563222
min,,630000000.0,,,,45.0,1.0,7454545.454545454
25%,,1200000000.0,,,,84.0,1.5,12454545.454545457
50%,,1890000000.0,,,,105.0,2.0,27948717.948717948
75%,,4600000000.0,,,,125.0,2.0,40000000.0
max,,56000000000.0,,,,460.0,3.0,140000000.0
