عنوان,قیمت,محله,تصویر,لینک,متراژ,تعداد اتاق,قیمت هر متر,ارزش خرید,خوشه,قیمت پیش‌بینی‌شده
فروش آپارتمان ۷۵ متری ۱ خوابه همکف در هدایت,1700000000,یک ربع پیش در هدایت,https://s100.divarcdn.com/static/photo/neda/webp_thumbnail/RbigfRrMsSl4gA8M7X8q5A/ca61fb32-192c-4127-be46-346eb3c76c01.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B7%DB%B5-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B1-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D9%87%D9%85%DA%A9%D9%81-%D8%AF%D8%B1-%D9%87%D8%AF%D8%A7%DB%8C%D8%AA/Aa0RQ3Do,75.0,1.0,22666666.666666668,1.0,0,1924116166.8705966
فروش آپارتمان ۵۵ متری ۱ خوابه همکف در صادقیه 22پن,1200000000,یک ربع پیش در پنجتن,https://s100.divarcdn.com/static/photo/neda/webp_thumbnail/sAqELQQZtDql1CK7DzC6Yg/77ec138f-7a1b-4a0c-a9d7-d6a18f5a6614.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B5%DB%B5-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B1-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D9%87%D9%85%DA%A9%D9%81-%D8%AF%D8%B1-%D8%B5%D8%A7%D8%AF%D9%82%DB%8C%D9%87-22%D9%BE%D9%86/Aa0FAbaj,55.0,1.0,21818181.818181816,1.0,0,1154950740.7143066
فروش آپارتمان ۹۵ متری ۲ خوابه در شهید بهشتی,5500000000,یک ربع پیش در شهید بهشتی,https://s100.divarcdn.com/static/photo/neda/webp_thumbnail/uYXzVjs0ZXH8hyjnYOsJcA/e3a6ceec-625d-47d6-bcc1-1d8c91c96f33.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B9%DB%B5-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%AF%D8%B1-%D8%B4%D9%87%DB%8C%D8%AF-%D8%A8%D9%87%D8%B4%D8%AA%DB%8C/Aa0Nw5Fj,95.0,2.0,57894736.84210526,1.0,1,1898242477.136675
فروش آپارتمان ۱۰۸ متری ۳ خوابه طبقه ۱ در نوده,870000000,نیم ساعت پیش در نوده,https://s100.divarcdn.com/static/photo/neda/webp_thumbnail/OEDgg68UrIwMbt32I-f6wg/b58aa5a6-8f6b-4a53-9b0d-4d73f6c2179f.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B1%DB%B0%DB%B8-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B3-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%B7%D8%A8%D9%82%D9%87-%DB%B1-%D8%AF%D8%B1-%D9%86%D9%88%D8%AF%D9%87/Aa0NAIt8,108.0,3.0,8055555.555555556,1.0,2,1603160888.2480516
فروش آپارتمان ۹۰ متری ۲ خوابه همکف در نوده,730000000,در نوده,https://postimage01.divarcdn.com/static/photo/neda/webp_thumbnail/GnNndaOzASjU-IVx3q9f7Q/1ad0e253-944a-41b8-8e86-f501f9d0290a.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B9%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D9%87%D9%85%DA%A9%D9%81-%D8%AF%D8%B1-%D9%86%D9%88%D8%AF%D9%87/Aayd3iz9,90.0,2.0,8111111.111111111,1.039600944330211,2,1705951120.5976024
فروش آپارتمان ۱۱۰ متری ۲ خوابه صفر طبقه ۲ در نوده,820000000,در نوده,https://postimage01.divarcdn.com/static/photo/neda/webp_thumbnail/UkqBzXJiR0_yKFVah1wpZA/06dd187f-ab13-40e4-9b9e-0aa91272d4a6.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B1%DB%B1%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%B5%D9%81%D8%B1-%D8%B7%D8%A8%D9%82%D9%87-%DB%B2-%D8%AF%D8%B1-%D9%86%D9%88%D8%AF%D9%87/AayhZFqm,110.0,2.0,7454545.454545454,0.9554489376285127,2,2475116546.7538924
فروش آپارتمان 100متری 90متر بنا 2 خوابه رباط طرق 9,1050000000,نیم ساعت پیش در رباط طرق,https://postimage01.divarcdn.com/static/photo/neda/webp_thumbnail/PBZAb6smlHfZDi-Nut1VRQ/c6220bf8-0087-4ba5-ba0f-b3476af5741f.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-100%D9%85%D8%AA%D8%B1%DB%8C-90%D9%85%D8%AA%D8%B1-%D8%A8%D9%86%D8%A7-2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%B1%D8%A8%D8%A7%D8%B7-%D8%B7%D8%B1%D9%82-9/Aaz5vcf_,100.0,2.0,10500000.0,1.0,2,2090533833.6757474
فروش آپارتمان ۷۵ متری ۲ خوابه طبقه ۳ در رستگار,1500000000,نیم ساعت پیش در رستگار,https://postimage01.divarcdn.com/static/photo/neda/webp_thumbnail/1GwOy-jC52OGmRJGIPjfYg/ef1348e3-f612-4745-b436-16d206633504.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B7%DB%B5-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%B7%D8%A8%D9%82%D9%87-%DB%B3-%D8%AF%D8%B1-%D8%B1%D8%B3%D8%AA%DA%AF%D8%A7%D8%B1/AazxfXNy,75.0,2.0,20000000.0,1.0,0,1129077050.9803853
فروش آپارتمان ۷۵ متری ۱ خوابه همکف در هدایت,1700000000,یک ربع پیش در هدایت,https://s100.divarcdn.com/static/photo/neda/webp_thumbnail/RbigfRrMsSl4gA8M7X8q5A/ca61fb32-192c-4127-be46-346eb3c76c01.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B7%DB%B5-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B1-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D9%87%D9%85%DA%A9%D9%81-%D8%AF%D8%B1-%D9%87%D8%AF%D8%A7%DB%8C%D8%AA/Aa0RQ3Do,75.0,1.0,22666666.666666668,1.0,0,1924116166.8705966
فروش آپارتمان ۵۵ متری ۱ خوابه همکف در صادقیه 22پن,1200000000,یک ربع پیش در پنجتن,https://s100.divarcdn.com/static/photo/neda/webp_thumbnail/sAqELQQZtDql1CK7DzC6Yg/77ec138f-7a1b-4a0c-a9d7-d6a18f5a6614.jpg.webp,https://divar.irhttps://divar.ir/v/%D9%81%D8%B1%D9%88%D8%B4-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B5%DB%B5-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B1-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D9%87%D9%85%DA%A9%D9%81-%D8%AF%D8%B1-%D8%B5%D8%A7%D8%AF%D9%82%DB%8C%D9%87-22%D9%BE%D9%86/Aa0FAbaj,55.0,1.0,21818181.818181816,1.0,0,1154950740.7143066
