محله,قیمت هر متر
در نوده,7802139.037433155
نیم ساعت پیش در نوده,8055555.555555556
نیم ساعت پیش در رباط طرق,10500000.0
در پنجتن,10592592.592592591
در حضرت حجت,11368421.052631577
املاک جردن نسترن ۱۲ نبش شهیدی۲ در کشف,12105820.105820106
نیم ساعت پیش در کشف,12454545.454545457
در انقلاب,14240000.0
نیم ساعت پیش در توس,16363636.363636363
نیم ساعت پیش در طبرسی شمالی,16666666.666666666
در رده,18122400.475341655
نیم ساعت پیش در رستگار,20000000.0
۱ ساعت پیش در رسالت,21153846.153846152
یک ربع پیش در پنجتن,21818181.818181816
یک ربع پیش در هدایت,22666666.666666668
۱ ساعت پیش در ثامن,25000000.0
۱ ساعت پیش در کوی سیدی,25555555.555555556
آژانس املاک مسکن سازه در هدایت,27948717.948717948
۱ ساعت پیش در ابوذر,32258064.51612903
آژانس عمارت /نبش فلاحی13/2 در شهرک لشکر,33185714.285714287
آژانس عمارت /نبش فلاحی13/2 در فرهنگیان,33268235.29411765
آژانس گروه کارگزاری املاک ماتیا در الهیه,36000000.0
املاک فرهنگ حسین آباد جلدک صفی آباد سپاد تقی اباد در الهیه,37419354.838709675
دقایقی پیش در ویلاشهر,37500000.0
املاک دلیر در امیریه,38787878.78787879
املاک دلیر در الهیه,39333333.333333336
در جاهد شهر,40119047.61904762
املاک اورست املاک ممتاز در الهیه,40695187.165775396
آژانس شهر ملک در الهیه,40776699.02912621
آژانس مسکن رویال VIP در الهیه,42009462.35455438
آژانس آریانا در الهیه,42931034.48275862
آژانس مسکن الماس در فرهنگ,48203592.81437126
آژانس صادقیان در دانشجو,49101796.40718563
۱ ساعت پیش در احمدآباد,51234567.90123457
آژانس املاک خانی در حرم مطهر رضوی,52222222.222222224
املاک سورن در الهیه,52413793.10344828
یک ربع پیش در شهید بهشتی,57894736.84210526
کارگزاری املاک نیکا در آزادشهر,60625000.0
دپارتمان املاک خانی در ملک‌آباد,93103448.27586208
آژانس املاک ۲۴ در سجاد شهر,119565217.39130434
مشاور امیر حاجی اقا بابایی در سجاد شهر,140000000.0
آژانس املاک نامبروان با تجربه ۲۰ساله درخشان مالک در توس,
در توس,
دقایقی پیش در بهاران,
دقایقی پیش در رده,
مسکن بامک بین امامت ۳۶و۳۸ در آزادشهر,
مشاور املاک سراسری مصیب قدرتی در طبرسی شمالی,
نیم ساعت پیش در امیریه,
نیم ساعت پیش در شهرک رازی,
نیم ساعت پیش در پارک کوهستان,
نیم ساعت پیش در چهارچشمه,
نیم ساعت پیش در یاس,
نیم ساعت پیش در یوسفیه,
یک ربع پیش در رستگار,
